"Path","Platform","Compiled","Cooked","Permutations","Compiletime","CompiledDouble","CookedDouble"
"Globals","0","4629","0","1","0.000000","0","0"
"/ControlRig/Controls/ControlRigGizmoMaterial.ControlRigGizmoMaterial","0","4","1","1","5.789041","0","13"
"/Engine/EngineDebugMaterials/DebugEditorMaterial.DebugEditorMaterial","0","6","1","1","5.633132","0","17"
"/OpenXR/Devices/M_XRController.M_XRController","0","42","7","3","72.700409","56","447"
"/Engine/EngineMaterials/Widget3DPassThrough.Widget3DPassThrough","0","54","8","6","85.275337","5","263"
"/Game/MegaScans/Ground.Ground","0","528","42","11","883.235901","263","8160"
"/Engine/EditorMaterials/PhAT_NoCollisionMaterial.PhAT_NoCollisionMaterial","0","5","2","1","5.439391","0","14"
"/MeshModelingToolset/Materials/M_DynamicMeshComponentVtxColor.M_DynamicMeshComponentVtxColor","0","17","5","1","30.652279","0","97"
"/Engine/EditorMaterials/PhAT_UnselectedMaterial.PhAT_UnselectedMaterial","0","5","5","1","6.789227","0","7"
"/Engine/EngineMaterials/GizmoMaterial.GizmoMaterial","0","6","6","1","3.995944","0","11"
"/Engine/EngineDebugMaterials/DebugMeshMaterial.DebugMeshMaterial","0","7","1","1","7.113219","0","21"
"/ControlRig/Controls/ControlRigXRayMaterial.ControlRigXRayMaterial","0","9","5","1","9.419435","0","33"
"/Engine/EngineMaterials/RemoveSurfaceMaterial.RemoveSurfaceMaterial","0","4","4","1","4.005622","0","7"
"/Engine/EditorLandscapeResources/SplineEditorMeshMat.SplineEditorMeshMat","0","12","3","1","14.426847","0","52"
"/Engine/EngineDebugMaterials/M_SimpleUnlitTranslucent.M_SimpleUnlitTranslucent","0","5","5","1","8.074881","0","8"
"/Engine/EditorMaterials/Camera/CineMat.CineMat","0","28","3","1","43.754322","0","205"
"/Engine/VREditor/TransformGizmo/Xray.Xray","0","14","1","1","22.993481","0","66"
"/Engine/VREditor/TransformGizmo/Main.Main","0","5","1","1","6.265588","0","17"
"/Engine/VREditor/TransformGizmo/TranslucentTransformGizmoMaterial.TranslucentTransformGizmoMaterial","0","5","5","1","6.223754","0","6"
"/Game/Characters/MannequinsXR/Materials/M_Mannequin.M_Mannequin","0","90","11","3","132.655228","0","805"
"/Interchange/gltf/M_Opaque.M_Opaque","0","224","35","8","319.392639","0","1757"
"/Interchange/gltf/M_Translucent.M_Translucent","0","200","24","8","2812.957520","0","1380"
"/Engine/EngineMaterials/DefaultLightFunctionMaterial.DefaultLightFunctionMaterial","0","145","4","1","356.058838","0","2972"
"/Interchange/Materials/UnlitMaterial.UnlitMaterial","0","4","4","1","5.438718","0","4"
"/Interchange/Materials/LambertSurfaceMaterial.LambertSurfaceMaterial","0","14","1","1","24.114946","0","70"
"/Interchange/Materials/ThinTranslucentMaterial.ThinTranslucentMaterial","0","24","1","1","221.226486","0","209"
"/Interchange/Materials/PBRSurfaceMaterial.PBRSurfaceMaterial","0","14","1","1","25.651579","0","85"
"/Game/VRTemplate/Materials/M_TeleportCylinder.M_TeleportCylinder","0","21","1","1","27.495872","0","176"
"/Game/Materials/Leaf_Main.Leaf_Main","0","41","2","1","58.431614","0","532"
"/Interchange/gltf/M_Transmission.M_Transmission","0","108","4","4","2010.380127","0","950"
"/Interchange/gltf/M_Sheen.M_Sheen","0","112","7","4","203.032959","0","969"
"/Interchange/gltf/M_Unlit.M_Unlit","0","32","2","2","44.330025","0","238"
"/Interchange/Materials/ClearCoatMaterial.ClearCoatMaterial","0","14","1","1","28.590553","0","90"
"/Game/Materials/M_Benchseat.M_Benchseat","0","25","1","1","58.187904","0","221"
"/Engine/BasicShapes/BasicShapeMaterial.BasicShapeMaterial","0","69","1","1","154.443069","0","989"
"/Game/Materials/M_Bin.M_Bin","0","25","1","1","64.833992","0","169"
